18155	-1.90	0.40	0.00	0.00
18254	-0.80	0.11	0.00	0.00
18353	-1.90	0.40	0.00	0.00
18452	-0.80	0.12	0.00	0.00
18551	-1.76	-0.49	0.00	0.00
18650	-0.86	0.21	0.00	0.00
18749	-1.41	-0.79	0.00	0.00
18848	-0.96	0.25	0.00	0.00
18947	-0.86	-0.88	0.00	0.00
19046	-1.09	0.23	0.00	0.00
19145	-0.46	-0.71	0.00	0.00
19244	-1.17	0.17	0.00	0.00
19343	-0.51	-0.75	0.00	0.00
19442	-0.85	0.33	0.00	0.00
19541	-1.67	-0.45	0.00	0.00
19640	-0.85	0.33	0.00	0.00
19739	-1.58	-0.54	0.00	0.00
19838	-0.95	0.41	0.00	0.00
19937	-1.27	-0.68	0.00	0.00
20036	-0.91	0.40	0.00	0.00
20135	-1.14	-0.72	0.00	0.00
20234	-0.84	0.38	0.00	0.00
20333	-1.42	-0.60	0.00	0.00
20432	-0.79	0.35	0.00	0.00
20531	-1.62	-0.43	0.00	0.00
20630	-0.67	0.19	0.00	0.00
20729	-1.78	-0.05	0.00	0.00
20828	-0.67	0.21	0.00	0.00
20927	-1.72	-0.23	0.00	0.00
21026	-0.77	0.38	0.00	0.00
21125	-1.48	-0.50	0.00	0.00
21224	-0.89	0.47	0.00	0.00
21323	-1.29	-0.59	0.00	0.00
21422	-0.84	0.45	0.00	0.00
21521	-1.36	-0.56	0.00	0.00
21620	-0.84	0.45	0.00	0.00
21719	-1.00	-0.67	0.00	0.00
21818	-0.84	0.45	0.00	0.00
21917	-1.49	-0.48	0.00	0.00
22016	-0.78	0.40	0.00	0.00
22115	-1.37	-0.57	0.00	0.00
22214	-0.61	0.28	0.00	0.00
22313	-1.58	-0.30	0.00	0.00
22412	-0.62	0.30	0.00	0.00
22511	-1.58	-0.31	0.00	0.00
22610	-0.66	0.36	0.00	0.00
22709	-1.67	-0.17	0.00	0.00
22808	-0.65	0.33	0.00	0.00
22907	-1.56	-0.34	0.00	0.00
23006	-0.70	0.39	0.00	0.00
